keyword,time_series,graph
prep,"23.0,25.0,25.0,24.0,25.0,24.0,24.0,24.0,23.0,23.0,23.0,24.0,23.0,23.0,19.0,23.0,23.0,22.0,16.0,18.0,26.0,25.0,25.0,25.0,26.0,24.0,23.0,26.0,25.0,24.0,23.0,23.0,23.0,24.0,25.0,24.0,23.0,24.0,24.0,23.0,22.0,20.0,56.0,22.0,20.0,19.0,18.0,19.0,20.0,19.0,21.0,21.0,22.0,25.0,26.0,27.0,27.0,26.0,26.0,25.0,24.0,26.0,24.0,25.0,23.0,25.0,22.0,25.0,24.0,24.0,19.0,18.0,27.0,29.0,28.0,27.0,28.0,26.0,26.0,27.0,30.0,28.0,27.0,28.0,28.0,26.0,25.0,26.0,26.0,27.0,25.0,25.0,24.0,23.0,50.0,23.0,22.0,22.0,20.0,23.0,22.0,23.0,24.0,25.0,26.0,27.0,27.0,30.0,28.0,28.0,29.0,27.0,27.0,28.0,28.0,26.0,27.0,26.0,23.0,26.0,27.0,26.0,22.0,20.0,26.0,31.0,29.0,29.0,30.0,29.0,29.0,28.0,30.0,30.0,28.0,28.0,27.0,27.0,30.0,28.0,28.0,28.0,26.0,26.0,26.0,24.0,26.0,24.0,23.0,23.0,100.0,26.0,25.0,24.0,25.0,25.0,27.0,29.0,28.0,29.0,29.0,30.0,31.0,29.0,27.0,27.0,26.0,26.0,27.0,27.0,24.0,27.0,26.0,25.0,23.0,20.0,27.0,32.0,31.0,30.0,30.0,30.0,29.0,29.0,30.0,30.0,28.0,29.0,29.0,28.0,28.0,26.0,27.0,28.0,27.0,27.0,26.0,25.0,31.0,25.0,25.0,23.0,21.0,25.0,25.0,25.0,26.0,25.0,28.0,29.0,30.0,29.0,30.0,30.0,29.0,29.0,28.0,28.0,28.0,27.0,28.0,27.0,28.0,24.0,28.0,26.0,24.0,21.0,26.0,32.0,31.0,30.0,29.0,30.0,29.0,29.0,31.0,30.0,28.0,20.0,18.0,18.0,20.0,19.0,20.0,20.0,20.0,21.0,22.0,21.0,22.0,22.0,22.0,21.0,20.0,22.0,23.0,22.0,22.0,23.0",
in debt,"21.0,22.0,22.0,22.0,25.0,26.0,25.0,25.0,26.0,26.0,26.0,28.0,24.0,27.0,21.0,28.0,26.0,22.0,16.0,18.0,23.0,25.0,26.0,27.0,28.0,29.0,100.0,48.0,34.0,33.0,30.0,28.0,29.0,30.0,31.0,29.0,29.0,29.0,30.0,27.0,26.0,23.0,28.0,23.0,23.0,23.0,22.0,22.0,25.0,23.0,23.0,22.0,21.0,22.0,25.0,24.0,26.0,26.0,29.0,28.0,30.0,30.0,27.0,29.0,34.0,32.0,24.0,31.0,29.0,27.0,20.0,17.0,25.0,26.0,33.0,32.0,30.0,30.0,30.0,30.0,32.0,31.0,28.0,29.0,29.0,31.0,26.0,29.0,32.0,32.0,28.0,26.0,25.0,23.0,25.0,24.0,23.0,22.0,25.0,24.0,22.0,23.0,32.0,25.0,24.0,22.0,24.0,23.0,28.0,30.0,27.0,28.0,28.0,30.0,28.0,30.0,28.0,33.0,26.0,30.0,34.0,29.0,23.0,19.0,23.0,26.0,25.0,28.0,28.0,30.0,31.0,28.0,30.0,32.0,30.0,28.0,28.0,29.0,31.0,33.0,31.0,29.0,28.0,26.0,26.0,25.0,28.0,26.0,23.0,22.0,21.0,23.0,24.0,23.0,25.0,24.0,23.0,23.0,25.0,27.0,28.0,29.0,28.0,28.0,28.0,29.0,30.0,28.0,28.0,30.0,26.0,30.0,31.0,30.0,23.0,19.0,24.0,29.0,30.0,30.0,29.0,30.0,33.0,32.0,30.0,32.0,30.0,29.0,30.0,30.0,31.0,30.0,28.0,29.0,30.0,28.0,27.0,24.0,24.0,25.0,25.0,26.0,23.0,23.0,24.0,26.0,26.0,26.0,25.0,28.0,27.0,26.0,27.0,29.0,31.0,30.0,30.0,30.0,29.0,29.0,33.0,31.0,33.0,26.0,32.0,33.0,26.0,19.0,23.0,31.0,30.0,30.0,33.0,34.0,33.0,33.0,34.0,35.0,33.0,29.0,34.0,32.0,31.0,37.0,36.0,35.0,34.0,33.0,30.0,28.0,27.0,28.0,27.0,27.0,26.0,28.0,27.0,29.0,27.0,27.0",
postulated,"37.0,33.0,60.0,54.0,55.0,73.0,63.0,66.0,58.0,60.0,48.0,69.0,46.0,43.0,48.0,51.0,55.0,41.0,19.0,26.0,34.0,42.0,48.0,54.0,48.0,51.0,62.0,53.0,47.0,77.0,100.0,58.0,66.0,86.0,66.0,59.0,39.0,57.0,39.0,54.0,45.0,46.0,45.0,39.0,28.0,31.0,29.0,57.0,42.0,44.0,45.0,53.0,54.0,36.0,28.0,50.0,47.0,64.0,73.0,69.0,52.0,54.0,64.0,67.0,85.0,42.0,32.0,80.0,71.0,61.0,18.0,22.0,42.0,87.0,48.0,53.0,91.0,55.0,66.0,64.0,51.0,75.0,38.0,61.0,58.0,36.0,46.0,58.0,60.0,58.0,63.0,82.0,62.0,30.0,29.0,38.0,43.0,39.0,42.0,15.0,51.0,35.0,38.0,46.0,38.0,40.0,52.0,68.0,57.0,79.0,62.0,75.0,64.0,62.0,33.0,66.0,62.0,43.0,35.0,59.0,65.0,54.0,28.0,18.0,20.0,58.0,39.0,54.0,68.0,86.0,63.0,65.0,51.0,62.0,62.0,81.0,40.0,64.0,47.0,95.0,83.0,58.0,52.0,55.0,58.0,53.0,42.0,31.0,31.0,26.0,47.0,29.0,22.0,29.0,37.0,52.0,18.0,24.0,39.0,64.0,71.0,69.0,76.0,72.0,67.0,63.0,65.0,41.0,66.0,74.0,49.0,64.0,54.0,94.0,32.0,32.0,39.0,34.0,48.0,50.0,60.0,75.0,62.0,50.0,79.0,53.0,50.0,54.0,59.0,64.0,50.0,61.0,52.0,66.0,56.0,35.0,55.0,48.0,37.0,45.0,35.0,35.0,30.0,53.0,58.0,29.0,36.0,26.0,33.0,58.0,62.0,36.0,53.0,82.0,55.0,67.0,65.0,60.0,59.0,52.0,66.0,56.0,52.0,49.0,54.0,33.0,65.0,31.0,27.0,28.0,58.0,34.0,61.0,72.0,47.0,40.0,89.0,50.0,73.0,42.0,49.0,57.0,56.0,43.0,63.0,59.0,69.0,64.0,44.0,48.0,43.0,45.0,38.0,58.0,41.0,42.0,55.0,49.0,52.0,55.0",
jadwin,"36.0,30.0,55.0,65.0,44.0,39.0,43.0,58.0,34.0,34.0,71.0,21.0,62.0,43.0,33.0,42.0,36.0,39.0,54.0,43.0,31.0,23.0,40.0,45.0,55.0,45.0,44.0,59.0,39.0,44.0,34.0,36.0,40.0,40.0,40.0,40.0,49.0,40.0,30.0,65.0,45.0,71.0,71.0,40.0,72.0,78.0,71.0,26.0,57.0,64.0,59.0,78.0,45.0,38.0,63.0,42.0,73.0,36.0,51.0,20.0,56.0,35.0,40.0,38.0,64.0,30.0,34.0,33.0,35.0,63.0,31.0,58.0,40.0,47.0,47.0,42.0,55.0,50.0,46.0,42.0,76.0,53.0,54.0,55.0,32.0,34.0,81.0,60.0,59.0,60.0,41.0,34.0,75.0,55.0,58.0,64.0,79.0,75.0,71.0,50.0,60.0,37.0,44.0,67.0,24.0,52.0,62.0,33.0,33.0,38.0,42.0,42.0,70.0,33.0,41.0,34.0,41.0,67.0,60.0,61.0,36.0,41.0,36.0,15.0,24.0,35.0,30.0,30.0,35.0,92.0,40.0,43.0,56.0,52.0,43.0,22.0,18.0,31.0,30.0,53.0,22.0,44.0,44.0,46.0,44.0,62.0,35.0,64.0,70.0,69.0,44.0,74.0,90.0,58.0,70.0,73.0,53.0,80.0,100.0,82.0,60.0,43.0,32.0,21.0,43.0,26.0,34.0,65.0,42.0,77.0,26.0,45.0,60.0,31.0,31.0,43.0,69.0,47.0,59.0,42.0,57.0,42.0,80.0,25.0,33.0,76.0,29.0,60.0,55.0,34.0,72.0,46.0,43.0,60.0,42.0,93.0,84.0,50.0,44.0,50.0,76.0,54.0,76.0,80.0,64.0,52.0,43.0,69.0,56.0,63.0,91.0,45.0,36.0,32.0,30.0,40.0,36.0,32.0,43.0,30.0,59.0,39.0,43.0,55.0,47.0,44.0,28.0,17.0,33.0,58.0,41.0,42.0,40.0,45.0,39.0,67.0,51.0,43.0,43.0,28.0,27.0,34.0,31.0,27.0,20.0,25.0,37.0,31.0,63.0,49.0,51.0,36.0,42.0,61.0,61.0,44.0,52.0,67.0,60.0,44.0",
brie,"24.0,23.0,22.0,20.0,20.0,31.0,23.0,24.0,22.0,21.0,20.0,23.0,22.0,21.0,21.0,20.0,20.0,22.0,23.0,21.0,27.0,25.0,34.0,31.0,24.0,43.0,28.0,24.0,28.0,28.0,27.0,28.0,100.0,26.0,22.0,22.0,21.0,25.0,20.0,18.0,19.0,20.0,28.0,19.0,20.0,28.0,22.0,20.0,20.0,19.0,18.0,18.0,17.0,51.0,21.0,19.0,16.0,18.0,20.0,19.0,18.0,17.0,18.0,19.0,19.0,18.0,17.0,18.0,18.0,20.0,23.0,19.0,19.0,21.0,28.0,27.0,21.0,20.0,18.0,18.0,19.0,18.0,17.0,18.0,44.0,32.0,32.0,21.0,22.0,22.0,24.0,23.0,22.0,22.0,25.0,20.0,19.0,19.0,17.0,20.0,27.0,33.0,27.0,23.0,24.0,23.0,24.0,23.0,18.0,18.0,19.0,19.0,19.0,20.0,20.0,22.0,19.0,19.0,18.0,18.0,20.0,23.0,26.0,26.0,23.0,26.0,28.0,31.0,26.0,24.0,20.0,33.0,23.0,21.0,18.0,18.0,18.0,18.0,17.0,20.0,23.0,20.0,19.0,18.0,29.0,45.0,29.0,24.0,22.0,21.0,20.0,20.0,21.0,19.0,21.0,22.0,18.0,20.0,20.0,19.0,17.0,19.0,19.0,30.0,20.0,33.0,23.0,20.0,19.0,17.0,18.0,17.0,19.0,18.0,24.0,18.0,26.0,23.0,24.0,31.0,27.0,34.0,22.0,20.0,22.0,22.0,24.0,26.0,42.0,70.0,81.0,48.0,36.0,31.0,33.0,33.0,65.0,62.0,41.0,30.0,26.0,29.0,27.0,25.0,25.0,23.0,22.0,23.0,21.0,22.0,23.0,22.0,23.0,22.0,25.0,23.0,21.0,19.0,22.0,21.0,20.0,24.0,20.0,21.0,23.0,22.0,23.0,26.0,22.0,22.0,45.0,41.0,31.0,23.0,22.0,22.0,24.0,23.0,31.0,23.0,23.0,21.0,20.0,18.0,19.0,22.0,27.0,28.0,25.0,25.0,25.0,25.0,25.0,24.0,24.0,24.0,22.0,23.0,29.0,25.0",
bearer,"24.0,23.0,24.0,20.0,22.0,22.0,22.0,20.0,21.0,22.0,22.0,19.0,20.0,21.0,17.0,19.0,19.0,16.0,18.0,17.0,19.0,21.0,21.0,21.0,24.0,20.0,23.0,21.0,23.0,24.0,22.0,20.0,21.0,26.0,24.0,23.0,23.0,23.0,22.0,23.0,21.0,22.0,24.0,21.0,23.0,20.0,23.0,22.0,23.0,22.0,100.0,81.0,32.0,42.0,22.0,24.0,21.0,25.0,22.0,21.0,25.0,20.0,21.0,21.0,21.0,24.0,21.0,21.0,23.0,23.0,20.0,18.0,23.0,19.0,21.0,23.0,24.0,23.0,25.0,28.0,25.0,25.0,24.0,24.0,26.0,31.0,25.0,26.0,31.0,26.0,23.0,23.0,21.0,20.0,21.0,21.0,21.0,21.0,22.0,24.0,21.0,23.0,23.0,24.0,21.0,24.0,21.0,23.0,24.0,19.0,21.0,21.0,23.0,23.0,23.0,21.0,23.0,23.0,22.0,22.0,20.0,20.0,21.0,19.0,21.0,26.0,26.0,26.0,24.0,73.0,46.0,28.0,29.0,25.0,25.0,22.0,24.0,28.0,25.0,25.0,26.0,24.0,25.0,23.0,26.0,24.0,24.0,25.0,22.0,23.0,22.0,23.0,25.0,25.0,24.0,27.0,24.0,25.0,28.0,25.0,24.0,23.0,26.0,26.0,26.0,26.0,27.0,26.0,25.0,23.0,23.0,24.0,24.0,24.0,23.0,22.0,20.0,23.0,26.0,24.0,25.0,23.0,24.0,24.0,24.0,23.0,25.0,23.0,25.0,24.0,24.0,25.0,24.0,23.0,24.0,27.0,26.0,24.0,26.0,26.0,25.0,25.0,25.0,24.0,25.0,24.0,25.0,25.0,24.0,26.0,22.0,24.0,26.0,27.0,24.0,26.0,24.0,26.0,25.0,24.0,24.0,23.0,24.0,22.0,21.0,24.0,24.0,19.0,26.0,27.0,26.0,24.0,24.0,27.0,26.0,27.0,26.0,24.0,22.0,23.0,19.0,25.0,25.0,26.0,25.0,25.0,24.0,25.0,26.0,23.0,24.0,24.0,26.0,28.0,26.0,26.0,26.0,26.0,24.0,24.0",
impair,"23.0,21.0,27.0,29.0,32.0,36.0,37.0,36.0,32.0,31.0,31.0,36.0,37.0,35.0,27.0,34.0,29.0,29.0,18.0,25.0,29.0,33.0,34.0,33.0,35.0,35.0,34.0,37.0,36.0,33.0,33.0,29.0,30.0,36.0,36.0,31.0,33.0,39.0,34.0,29.0,30.0,33.0,27.0,26.0,30.0,26.0,26.0,22.0,27.0,27.0,24.0,23.0,16.0,21.0,30.0,33.0,39.0,38.0,41.0,37.0,31.0,44.0,36.0,34.0,36.0,36.0,30.0,42.0,100.0,62.0,25.0,25.0,36.0,32.0,31.0,41.0,29.0,31.0,38.0,27.0,41.0,39.0,33.0,33.0,32.0,38.0,28.0,37.0,36.0,36.0,37.0,29.0,35.0,31.0,26.0,28.0,33.0,23.0,22.0,22.0,21.0,21.0,23.0,23.0,25.0,22.0,24.0,37.0,28.0,35.0,33.0,37.0,34.0,33.0,34.0,32.0,39.0,38.0,33.0,35.0,37.0,34.0,25.0,22.0,31.0,28.0,29.0,29.0,33.0,36.0,38.0,34.0,33.0,35.0,36.0,30.0,32.0,33.0,36.0,35.0,37.0,38.0,30.0,37.0,33.0,29.0,34.0,26.0,25.0,28.0,25.0,25.0,23.0,27.0,27.0,24.0,22.0,26.0,22.0,32.0,34.0,36.0,35.0,42.0,38.0,41.0,31.0,40.0,36.0,38.0,32.0,35.0,34.0,36.0,35.0,20.0,24.0,30.0,28.0,33.0,34.0,32.0,32.0,39.0,39.0,45.0,39.0,32.0,34.0,31.0,34.0,29.0,34.0,33.0,32.0,31.0,30.0,32.0,26.0,26.0,24.0,23.0,21.0,27.0,21.0,23.0,24.0,24.0,22.0,28.0,24.0,39.0,33.0,42.0,40.0,37.0,39.0,43.0,39.0,39.0,43.0,36.0,38.0,30.0,36.0,33.0,29.0,22.0,25.0,30.0,33.0,33.0,37.0,35.0,33.0,38.0,36.0,33.0,34.0,31.0,35.0,35.0,37.0,34.0,38.0,41.0,48.0,44.0,39.0,30.0,39.0,34.0,33.0,31.0,27.0,28.0,29.0,28.0,26.0,29.0",
reproach,"23.0,28.0,28.0,31.0,33.0,34.0,38.0,34.0,28.0,36.0,31.0,30.0,31.0,27.0,21.0,28.0,30.0,25.0,16.0,18.0,23.0,30.0,28.0,32.0,32.0,33.0,24.0,31.0,28.0,26.0,27.0,26.0,25.0,41.0,33.0,32.0,26.0,28.0,26.0,30.0,28.0,24.0,23.0,26.0,22.0,21.0,23.0,26.0,25.0,23.0,21.0,20.0,24.0,23.0,33.0,30.0,33.0,36.0,29.0,31.0,32.0,34.0,29.0,32.0,30.0,36.0,22.0,32.0,31.0,23.0,20.0,16.0,23.0,27.0,34.0,34.0,31.0,30.0,29.0,30.0,37.0,27.0,28.0,32.0,30.0,28.0,27.0,29.0,29.0,30.0,31.0,27.0,22.0,19.0,21.0,21.0,27.0,25.0,21.0,29.0,23.0,25.0,22.0,20.0,24.0,23.0,27.0,32.0,32.0,31.0,32.0,31.0,28.0,29.0,29.0,31.0,29.0,32.0,21.0,26.0,34.0,26.0,26.0,17.0,21.0,30.0,30.0,34.0,30.0,31.0,40.0,31.0,28.0,28.0,24.0,29.0,25.0,25.0,27.0,28.0,27.0,27.0,27.0,29.0,37.0,20.0,21.0,27.0,25.0,26.0,24.0,21.0,27.0,20.0,21.0,23.0,26.0,28.0,28.0,30.0,35.0,34.0,39.0,30.0,24.0,28.0,28.0,28.0,28.0,25.0,23.0,25.0,30.0,27.0,24.0,18.0,24.0,29.0,30.0,29.0,27.0,25.0,32.0,26.0,33.0,34.0,27.0,33.0,29.0,28.0,28.0,25.0,25.0,24.0,23.0,25.0,27.0,22.0,21.0,25.0,23.0,21.0,21.0,22.0,28.0,22.0,18.0,21.0,23.0,24.0,25.0,26.0,28.0,29.0,30.0,29.0,25.0,25.0,27.0,25.0,26.0,29.0,100.0,27.0,25.0,24.0,22.0,16.0,21.0,23.0,27.0,29.0,27.0,27.0,27.0,31.0,30.0,24.0,22.0,22.0,27.0,29.0,31.0,33.0,33.0,30.0,31.0,32.0,30.0,26.0,26.0,25.0,27.0,26.0,25.0,23.0,25.0,24.0,23.0,25.0",
non discrimination,"22.0,32.0,44.0,30.0,43.0,46.0,46.0,41.0,47.0,55.0,56.0,48.0,63.0,48.0,49.0,50.0,52.0,66.0,56.0,16.0,18.0,22.0,30.0,59.0,55.0,62.0,61.0,48.0,82.0,50.0,84.0,51.0,63.0,55.0,60.0,60.0,60.0,51.0,42.0,47.0,45.0,71.0,53.0,40.0,49.0,34.0,43.0,40.0,35.0,38.0,38.0,43.0,48.0,32.0,38.0,39.0,35.0,35.0,55.0,56.0,39.0,53.0,56.0,41.0,73.0,57.0,57.0,41.0,67.0,60.0,44.0,43.0,25.0,41.0,58.0,44.0,62.0,67.0,62.0,57.0,51.0,62.0,58.0,68.0,63.0,71.0,68.0,64.0,53.0,64.0,70.0,54.0,52.0,48.0,38.0,52.0,26.0,47.0,45.0,42.0,48.0,27.0,30.0,40.0,26.0,34.0,23.0,38.0,43.0,36.0,41.0,55.0,42.0,22.0,70.0,59.0,60.0,64.0,57.0,40.0,54.0,47.0,55.0,33.0,22.0,36.0,49.0,45.0,47.0,39.0,50.0,60.0,44.0,47.0,62.0,62.0,44.0,59.0,45.0,41.0,38.0,57.0,42.0,35.0,56.0,45.0,46.0,40.0,34.0,34.0,42.0,32.0,30.0,42.0,27.0,51.0,38.0,35.0,51.0,39.0,49.0,46.0,34.0,41.0,42.0,55.0,42.0,49.0,44.0,54.0,42.0,38.0,40.0,62.0,60.0,31.0,21.0,28.0,46.0,33.0,49.0,35.0,57.0,53.0,52.0,71.0,65.0,62.0,54.0,38.0,62.0,47.0,55.0,49.0,43.0,48.0,51.0,49.0,41.0,39.0,45.0,37.0,41.0,31.0,37.0,37.0,45.0,44.0,39.0,43.0,45.0,53.0,44.0,49.0,58.0,64.0,55.0,56.0,59.0,59.0,48.0,62.0,54.0,59.0,27.0,66.0,40.0,39.0,22.0,22.0,44.0,30.0,33.0,47.0,53.0,49.0,53.0,49.0,46.0,55.0,31.0,29.0,49.0,32.0,48.0,62.0,61.0,44.0,39.0,36.0,35.0,51.0,100.0,87.0,61.0,40.0,50.0,36.0,50.0,38.0",
kaaba,"20.0,22.0,25.0,63.0,51.0,100.0,46.0,27.0,29.0,29.0,25.0,24.0,27.0,30.0,21.0,24.0,24.0,25.0,24.0,23.0,25.0,23.0,22.0,22.0,23.0,27.0,25.0,24.0,24.0,25.0,22.0,23.0,25.0,24.0,25.0,26.0,23.0,25.0,23.0,21.0,24.0,24.0,37.0,30.0,30.0,26.0,34.0,20.0,20.0,20.0,19.0,16.0,19.0,21.0,25.0,40.0,50.0,27.0,25.0,27.0,26.0,26.0,25.0,24.0,23.0,23.0,20.0,26.0,26.0,24.0,24.0,24.0,23.0,25.0,22.0,24.0,21.0,36.0,25.0,24.0,23.0,26.0,23.0,21.0,25.0,23.0,28.0,24.0,21.0,21.0,22.0,21.0,27.0,34.0,30.0,27.0,35.0,21.0,19.0,17.0,17.0,20.0,24.0,21.0,20.0,24.0,43.0,27.0,18.0,21.0,28.0,35.0,25.0,23.0,24.0,23.0,28.0,24.0,23.0,30.0,25.0,25.0,21.0,20.0,19.0,20.0,19.0,19.0,20.0,20.0,21.0,19.0,21.0,21.0,23.0,21.0,23.0,24.0,21.0,21.0,22.0,21.0,21.0,25.0,26.0,28.0,31.0,35.0,17.0,20.0,18.0,17.0,16.0,16.0,18.0,22.0,26.0,65.0,27.0,23.0,20.0,24.0,24.0,21.0,21.0,28.0,24.0,23.0,22.0,24.0,23.0,23.0,21.0,20.0,21.0,22.0,20.0,23.0,24.0,22.0,23.0,23.0,24.0,21.0,21.0,28.0,23.0,29.0,23.0,23.0,22.0,29.0,24.0,22.0,33.0,32.0,37.0,32.0,29.0,21.0,19.0,17.0,19.0,16.0,19.0,22.0,24.0,39.0,39.0,23.0,21.0,20.0,22.0,21.0,23.0,25.0,24.0,24.0,25.0,24.0,25.0,25.0,25.0,21.0,24.0,25.0,25.0,23.0,22.0,27.0,23.0,22.0,37.0,25.0,22.0,25.0,29.0,56.0,52.0,46.0,41.0,38.0,29.0,26.0,41.0,53.0,40.0,35.0,36.0,26.0,24.0,22.0,20.0,22.0,20.0,25.0,21.0,29.0,59.0,25.0",
perinatal,"79.0,83.0,72.0,72.0,78.0,80.0,85.0,82.0,87.0,89.0,87.0,81.0,84.0,84.0,81.0,73.0,82.0,74.0,72.0,46.0,56.0,73.0,77.0,76.0,78.0,79.0,81.0,79.0,92.0,84.0,80.0,77.0,75.0,83.0,84.0,86.0,90.0,82.0,88.0,83.0,78.0,80.0,74.0,77.0,68.0,76.0,68.0,68.0,68.0,68.0,67.0,70.0,67.0,66.0,72.0,79.0,77.0,78.0,84.0,79.0,84.0,80.0,80.0,83.0,76.0,77.0,80.0,68.0,72.0,67.0,69.0,51.0,51.0,65.0,73.0,73.0,86.0,73.0,76.0,85.0,76.0,76.0,77.0,77.0,86.0,85.0,87.0,74.0,77.0,80.0,80.0,83.0,76.0,76.0,73.0,72.0,67.0,67.0,71.0,70.0,73.0,73.0,73.0,70.0,68.0,76.0,76.0,69.0,69.0,77.0,77.0,76.0,90.0,79.0,86.0,87.0,80.0,75.0,79.0,66.0,77.0,82.0,71.0,58.0,50.0,60.0,76.0,80.0,72.0,77.0,83.0,67.0,73.0,79.0,84.0,76.0,83.0,74.0,81.0,81.0,88.0,81.0,82.0,86.0,79.0,81.0,74.0,79.0,74.0,66.0,69.0,65.0,65.0,71.0,72.0,73.0,68.0,79.0,76.0,76.0,78.0,78.0,86.0,83.0,87.0,78.0,93.0,85.0,76.0,83.0,83.0,74.0,76.0,76.0,69.0,64.0,45.0,50.0,74.0,76.0,76.0,74.0,72.0,77.0,80.0,85.0,77.0,75.0,83.0,81.0,77.0,85.0,71.0,82.0,79.0,84.0,84.0,78.0,76.0,76.0,75.0,80.0,82.0,68.0,72.0,69.0,68.0,70.0,71.0,82.0,87.0,84.0,87.0,89.0,86.0,90.0,86.0,82.0,100.0,88.0,81.0,80.0,85.0,79.0,69.0,77.0,71.0,66.0,43.0,55.0,73.0,81.0,78.0,78.0,80.0,75.0,82.0,85.0,83.0,78.0,60.0,56.0,66.0,64.0,65.0,68.0,66.0,74.0,75.0,77.0,65.0,73.0,72.0,69.0,74.0,67.0,69.0,78.0,68.0,65.0",
pickleball court dimensions,"21,18,18,14,23,20,20,13,15,24,11,17,21,14,13,16,11,0,0,16,12,13,13,18,13,15,0,11,12,20,13,12,14,16,10,10,22,17,16,11,18,0,31,39,46,47,42,29,41,29,21,29,20,25,18,27,44,39,34,22,19,26,27,22,9,22,18,20,15,24,18,18,21,25,15,13,18,21,23,12,16,13,14,22,16,15,22,14,10,20,14,22,20,28,27,34,22,27,24,23,26,24,27,33,27,26,24,21,27,33,24,46,20,19,26,29,23,23,23,24,25,17,26,26,17,17,24,21,32,18,18,25,19,0,30,35,25,21,24,30,22,24,25,31,37,29,33,39,37,31,28,33,36,41,42,33,35,44,41,34,53,43,53,41,53,49,59,58,55,48,56,47,47,37,42,56,48,57,53,44,49,45,50,42,35,33,31,51,47,52,49,45,53,57,46,48,46,51,47,67,52,68,76,63,55,63,83,71,95,100,75,83,83,89,96,65,85,76,73,74,61,74,74,70,50,59,52,54,47,50,49,52,54,46,51,37,39,41,46,82,56,48,59,54,68,51,48,62,75,64,67,60,60,59,74,62,77,74,81,76",
salesforce,"74,78,96,83,82,72,79,81,84,81,77,76,85,83,73,79,85,84,80,80,83,77,75,82,84,90,69,81,80,79,41,46,85,82,84,82,82,87,87,87,88,81,74,73,71,70,71,74,72,71,79,77,71,75,75,74,74,72,81,81,78,80,71,69,74,93,80,75,76,75,61,62,58,53,53,47,51,49,46,69,57,52,38,31,53,54,58,53,59,57,56,58,58,54,53,57,51,58,54,56,54,54,62,57,56,53,63,57,61,55,52,57,59,59,54,51,55,56,55,54,61,61,59,60,55,62,59,54,61,62,55,65,61,59,53,40,63,68,69,66,77,80,82,69,71,70,69,72,82,87,79,80,84,86,91,85,86,78,82,82,86,85,82,83,84,88,84,80,79,85,80,75,85,90,94,81,85,84,82,79,91,83,71,85,78,81,68,47,86,88,85,83,90,86,84,81,89,87,79,84,88,76,77,80,78,77,78,78,81,74,78,84,81,81,72,87,84,86,82,79,75,82,79,76,85,81,79,78,75,84,82,79,79,74,69,82,85,76,74,45,65,85,79,87,90,93,91,89,96,92,100,91,80,85,86,93,86,79,86,85",
hostilities,"39.0,42.0,36.0,52.0,39.0,37.0,40.0,36.0,29.0,65.0,36.0,36.0,63.0,66.0,27.0,52.0,46.0,47.0,26.0,24.0,61.0,38.0,36.0,38.0,52.0,78.0,77.0,96.0,58.0,57.0,37.0,43.0,42.0,65.0,60.0,55.0,49.0,66.0,56.0,53.0,44.0,34.0,36.0,18.0,25.0,29.0,19.0,32.0,47.0,42.0,30.0,22.0,43.0,30.0,31.0,42.0,65.0,43.0,43.0,66.0,57.0,38.0,44.0,42.0,55.0,58.0,76.0,61.0,54.0,50.0,22.0,31.0,47.0,45.0,43.0,55.0,70.0,35.0,40.0,41.0,72.0,75.0,38.0,66.0,55.0,26.0,76.0,59.0,45.0,50.0,57.0,41.0,44.0,42.0,42.0,35.0,15.0,30.0,26.0,36.0,36.0,18.0,27.0,29.0,33.0,36.0,38.0,34.0,43.0,51.0,37.0,55.0,43.0,33.0,64.0,42.0,82.0,30.0,40.0,52.0,58.0,59.0,53.0,46.0,39.0,51.0,52.0,43.0,43.0,43.0,53.0,41.0,49.0,51.0,58.0,29.0,86.0,69.0,62.0,54.0,57.0,37.0,49.0,40.0,28.0,49.0,25.0,34.0,42.0,28.0,17.0,28.0,40.0,34.0,35.0,19.0,44.0,30.0,54.0,60.0,49.0,46.0,44.0,51.0,41.0,35.0,43.0,60.0,57.0,72.0,33.0,54.0,38.0,49.0,25.0,15.0,17.0,31.0,63.0,43.0,35.0,45.0,48.0,55.0,81.0,67.0,50.0,56.0,71.0,54.0,71.0,42.0,59.0,49.0,42.0,46.0,33.0,45.0,40.0,23.0,35.0,28.0,41.0,37.0,34.0,38.0,35.0,26.0,42.0,40.0,39.0,54.0,53.0,59.0,49.0,51.0,38.0,76.0,50.0,39.0,53.0,67.0,46.0,25.0,64.0,54.0,51.0,26.0,30.0,100.0,44.0,67.0,32.0,45.0,64.0,37.0,65.0,52.0,55.0,38.0,37.0,28.0,58.0,54.0,77.0,67.0,100.0,64.0,53.0,46.0,35.0,40.0,38.0,30.0,32.0,39.0,27.0,38.0,51.0,21.0",
